,Specimen.ID,Repeat.or.New.Specimen.,Shipment,Predator,Location,Month,Year,Sex,Sample_type,Stomach.Goo,Intestinal.Goo,X,Fish,Cephalopod,Shrimp,Polychaete,Other,Tooth_age,age or age class,reproductive status,length,weight,date/time of tissue harvest,stranded vs harvested,decomposition gradient code (if applicable),time between animal death and tissue harvest (if known),,,,,
38,DL22OTZ004,New,1,beluga whale,Kotzebue,JUN,2022,F,stomach,yes,no,no,yes,no,no,yes,"echiurid, isopod",NA,,,,,,,,,,,,,
39,DL22SCM001,New,1,beluga whale,Scammon Bay,OCT,2022,F,stomach,yes,no,no,yes,no,yes,no," echiurid, amphipod",NA,,,,,,,,,,,,,
40,DL23OME001,Replacement,2,beluga whale,Nome,OCT,2023,U,stomach,Yes,no,No,Yes,no,Yes,Yes,NA,NA,,,,,,,,,,,,,
41,DL23OME003,Replacement,2,beluga whale,Nome,OCT,2023,U,stomach,Yes,no,No,Yes,no,Yes,Yes,NA,NA,,,,,,,,,,,,,
42,EB21GAM031-S,New,3,bearded seal,Gambell,MAY,2021,M,stomach,Yes,no,Yes,No,no,no,no,no,1,,,,,,,,,,,,,
43,EB22GAM019-S,New,3,bearded seal,Gambell,MAY,2022,F,stomach,Yes,no,No,no,unk,unk,unk,unk,16,,,,,,,,,,,,,
44,EB23PH005-S,New,3,bearded seal,Point Hope,JUN,2023,F,stomach,Yes,no,No,Yes,unk,unk,unk,unk,9,,,,,,,,,,,,,
45,EB23PH028-S,New,3,bearded seal,Point Hope,JUN,2023,F,stomach,Yes,no,No,No,unk,unk,unk,unk,7,,,,,,,,,,,,,
46,EB23SH008-S,New,3,bearded seal,Shishmaref,NOV,2023,F,stomach,Yes,no,No,Yes,unk,unk,unk,unk,0,,,,,,,,,,,,,
47,EB24GAM020-S,New,3,bearded seal,Gambell,MAY,2024,M,stomach,Yes,no,No,No,unk,unk,unk,unk,NA,,,,,,,,,,,,,
48,EB24GAM027-S,New,3,bearded seal,Gambell,MAY,2024,M,stomach,Yes,no,No,No,unk,unk,unk,unk,NA,,,,,,,,,,,,,
49,EB24PH055-S,New,3,bearded seal,Point Hope,JUN,2024,M,stomach,Yes,no,No,No,unk,unk,unk,unk,NA,,,,,,,,,,,,,
50,EB24PH075-S,New,3,bearded seal,Point Hope,JUN,2024,F,stomach,Yes,no,No,Yes,unk,unk,unk,unk,NA,,,,,,,,,,,,,
51,PH22SH005-S,New,3,ringed seal,Shishmaref,OCT,2022,F,stomach,Yes,no,Yes,No,no,no,no,no,2,,,,,,,,,,,,,
52,PH22SH015-S,New,3,ringed seal,Shishmaref,OCT,2022,M,stomach,Yes,no,No,Yes,no,no,no,no,15,,,,,,,,,,,,,
53,PH22SH043-S,New,3,ringed seal,Shishmaref,OCT,2022,F,stomach,Yes,no,No,Yes,no,no,no,no,7,,,,,,,,,,,,,
54,PH23SH005-S,New,3,ringed seal,Shishmaref,SEP,2023,M,stomach,Yes,no,Yes,No,no,no,no,no,4,,,,,,,,,,,,,
55,PH23SH013-S,New,3,ringed seal,Shishmaref,OCT,2023,M,stomach,Yes,no,Yes,No,no,no,no,no,0,,,,,,,,,,,,,
56,PH23SH032-S,New,3,ringed seal,Shishmaref,OCT,2023,M,stomach,Yes,no,No,Yes,no,no,no,no,2,,,,,,,,,,,,,
57,PH24GAM014-S,New,3,ringed seal,Gambell,JUN,2024,F,stomach,Yes,no,Yes,No,no,no,no,no,NA,,,,,,,,,,,,,
58,EB22PH005-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
59,PH22SH036-S,New,3,ringed seal,Shishmaref,OCT,2022,M,stomach,Yes,no,No,Yes,no,no,no,no,21,,,,,,,,,,,,,
60,EB21GAM031-F,New,3,bearded seal,Gambell,MAY,2021,M,fecal,No,Yes,NA,NA,NA,NA,NA,NA,1,,,,,,,,,,,,,
61,EB22GAM019-F,New,3,bearded seal,Gambell,MAY,2022,F,fecal,No,Yes,NA,NA,NA,NA,NA,NA,16,,,,,,,,,,,,,
62,EB23PH028-F,New,3,bearded seal,Point Hope,JUN,2023,F,fecal,No,Yes,NA,NA,NA,NA,NA,NA,7,,,,,,,,,,,,,
63,EB23SH008-F,New,3,bearded seal,Shishmaref,NOV,2023,F,fecal,No,Yes,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,
64,EB23SH009-F,New,3,bearded seal,Shishmaref,OCT,2023,M,fecal,No,Yes,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,
